1.70, 1.09, 1.90, 0.00, 1.90, 1.52, 2.93, 0.72, 0.00, 1.06
5.48, 0.00, 5.10, 0.00, 7.38, 3.56, 7.71, 0.54, 0.00, 0.00
5.44, 0.00, 6.10, 0.00, 3.82, 7.75, 10.25, 0.00, 0.00, 0.00
5.73, 1.20, 4.63, 0.00, 7.14, 6.47, 9.01, 1.97, 0.00, 0.77
5.40, 0.00, 5.78, 0.00, 4.68, 7.55, 10.04, 0.00, 0.00, 0.00
5.55, 3.70, 6.28, 0.00, 6.14, 4.82, 9.56, 2.36, 0.00, 3.63
5.93, 18.52, 16.56, 0.00, 40.49, 0.00, 17.65, 0.00, 0.00, 0.00
5.93, 0.00, 5.52, 0.00, 7.99, 3.85, 8.34, 0.59, 0.00, 0.00
11.75, 12.86, 8.78, 0.00, 24.76, 8.96, 20.52, 0.00, 0.00, 8.78
6.14, 0.00, 5.71, 0.00, 8.26, 3.98, 8.63, 0.61, 0.00, 0.00
4.68, 0.00, 4.35, 0.00, 6.29, 3.03, 6.58, 0.46, 0.00, 0.00
4.48, 0.00, 4.17, 0.00, 6.02, 2.90, 6.29, 0.44, 0.00, 0.00
6.09, 0.00, 6.83, 0.00, 4.25, 8.68, 11.48, 0.00, 0.00, 0.00
8.87, 0.00, 6.97, 2.82, 6.07, 7.08, 12.44, 0.00, 0.00, 0.00
8.52, 12.16, 16.12, 12.13, 17.86, 11.66, 23.50, 0.00, 0.00, 0.00
6.39, 0.00, 5.94, 0.00, 8.60, 4.14, 8.98, 0.63, 0.00, 0.00
8.65, 13.07, 16.02, 11.58, 18.82, 11.80, 23.91, 0.00, 0.00, 0.00
12.84, 14.02, 9.57, 0.00, 27.03, 9.77, 22.39, 0.00, 0.00, 9.61
2.44, 8.05, 7.19, 0.00, 17.60, 0.00, 7.56, 0.00, 0.00, 0.00
6.69, 0.00, 6.22, 0.00, 9.00, 4.34, 9.40, 0.66, 0.00, 0.00
1.11, 0.00, 1.20, 0.00, 0.94, 1.56, 2.07, 0.00, 0.00, 0.00
9.13, 13.02, 17.28, 13.01, 19.13, 12.50, 25.19, 0.00, 0.00, 0.00
1.10, 1.95, 2.19, 1.53, 2.66, 1.61, 3.26, 0.00, 0.00, 0.00
12.55, 13.58, 8.33, 0.00, 19.90, 5.41, 17.40, 0.00, 0.00, 7.07
3.67, 0.00, 3.42, 0.00, 4.94, 2.38, 5.16, 0.36, 0.00, 0.00
7.11, 1.17, 5.66, 0.00, 8.80, 8.23, 11.13, 2.22, 0.00, 0.50
6.99, 0.00, 6.51, 0.00, 9.41, 4.53, 9.83, 0.69, 0.00, 0.00
7.19, 0.76, 5.63, 0.00, 8.82, 8.58, 11.20, 1.94, 0.00, 0.00
6.91, 4.63, 7.84, 0.00, 7.64, 5.99, 11.91, 2.95, 0.00, 4.54
7.01, 4.70, 7.95, 0.00, 7.75, 6.08, 12.07, 2.99, 0.00, 4.61
5.13, 0.00, 4.77, 0.00, 6.90, 3.33, 7.21, 0.51, 0.00, 0.00
7.19, 0.00, 8.07, 0.00, 4.98, 10.25, 13.55, 0.00, 0.00, 0.00
